"species","start_year","end_year","trend_type","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","prob_decline","prob_decline_GT30","prob_decline_GT50","prob_decline_GT70","mean_abundance","mean_observed","mean_n_surveys"
"Stilt Sandpiper",1980,2019,"Long-term",-5.07683635504949,-7.08036867316558,-3.07221735380243,-86.9074810641262,-94.2958406058378,-70.3869686605113,1,1,0.999166666666667,0.97625,3.61817758063762,27.9509599310231,470.125
"Stilt Sandpiper",2004,2019,"15-year",-6.47254999819382,-10.8440984483706,-1.60409563437576,-63.6692691757889,-82.1247777395495,-21.5387235422672,0.994583333333333,0.952916666666667,0.797083333333333,0.305,1.75027872914296,0.953665767685771,334.75
"Stilt Sandpiper",1980,1995,"First-15-year",-4.41745885737549,-8.13582785615104,-0.373376517933769,-49.1339427510003,-71.9977727219396,-5.45660912945317,0.982916666666667,0.859166666666667,0.478333333333333,0.0441666666666667,5.39196237625912,67.12789133341,547.5
"Stilt Sandpiper",2006,2019,"Recent-three-generation",-6.10245794693313,-11.3031566081523,-0.215038504599498,-56.4604910703927,-78.9716045953911,-2.75968983502209,0.979166666666667,0.879583333333333,0.642083333333333,0.17,1.59890864249336,0.690105431535164,324.642857142857
"Stilt Sandpiper",1993,2006,"Previous-three-generation",-4.05465763991982,-6.73533592604029,-1.42647810443028,-41.6908309859698,-59.6054538462843,-17.0371702434292,0.995416666666667,0.8475,0.19875,0.000833333333333333,3.64152561799575,4.0110225017001,534.071428571429
"Sanderling",1980,2019,"Long-term",-2.15792505685303,-4.01183386711771,-0.0807498176316063,-57.9971660149113,-79.7469639557197,-3.10139745252535,0.980416666666667,0.888333333333333,0.665416666666667,0.183333333333333,246.314344818574,70.6293940416501,802.95
"Sanderling",2004,2019,"15-year",-3.5117117009924,-7.29661405057646,0.535529777771286,-42.3650900875178,-67.9052532841573,8.3411802512827,0.949583333333333,0.7275,0.322916666666667,0.015,159.296802021574,49.970790461849,672.5625
"Sanderling",1980,1995,"First-15-year",0.0540656099149695,-3.99051046896983,4.24970344060915,-0.512642889737369,-45.7109286008939,86.6906153955726,0.505833333333333,0.115,0.0141666666666667,0,315.120646698066,87.9956484999005,858.0625
"Sanderling",1999,2019,"Recent-three-generation",-3.83448484981282,-6.72505231972771,-0.959808826716714,-54.6455718885849,-75.1514934304351,-17.5426425958956,0.995416666666667,0.91125,0.618333333333333,0.08625,185.419506866181,57.3629274828964,739.380952380952
"Sanderling",1980,1999,"Previous-three-generation",-0.347055217888827,-3.53674090687657,2.82767541516838,-7.13827773667177,-49.5481952730365,69.8597085772506,0.605416666666667,0.159166666666667,0.0245833333333333,0,312.52030163979,83.1871969848797,878.85
"Dunlin",1980,2019,"Long-term",-5.7393383639767,-7.48301440706337,-3.92892151299068,-89.9595378865207,-95.1845431992313,-79.0533726116245,1,1,1,0.999583333333333,16.3656711505111,42.1205036059556,763.75
"Dunlin",2004,2019,"15-year",-9.82674782436195,-13.4993503042636,-6.21823401117658,-78.6882335917943,-88.6422882841218,-61.8252527589656,1,1,0.997083333333333,0.87875,9.5765030757375,22.9273859598259,621.875
"Dunlin",1980,1995,"First-15-year",-4.39813005240746,-8.21553008809236,-0.508359285325653,-49.3038224575208,-72.3599979402289,-7.35992568266377,0.9875,0.8625,0.485,0.0425,22.8019364729419,49.1913557400626,821.8125
"Dunlin",1997,2019,"Recent-three-generation",-7.12013332276843,-9.50477905299858,-4.60679170995246,-80.3903685411808,-88.8887176398037,-64.568950423895,1,1,0.999583333333333,0.927916666666667,11.8543978739425,36.4009886135438,729.782608695652
"Dunlin",1980,1997,"Previous-three-generation",-3.90557759647844,-7.22907675812696,-0.513676175827995,-49.2879242505029,-72.0744356658502,-8.3826920936347,0.986666666666667,0.866666666666667,0.4825,0.0408333333333333,22.1735553529104,52.0231367428284,834.111111111111
"Baird's Sandpiper",1980,2019,"Long-term",-0.969071255859229,-2.92379320206425,0.397290442366056,-28.3387216739915,-68.5660376520838,16.7233360253031,0.854166666666667,0.47625,0.204583333333333,0.0175,0.249802179205393,3.1921369991952,498.65
"Baird's Sandpiper",2004,2019,"15-year",-1.79683936528285,-5.9770693221135,1.21495175719514,-20.3800274047051,-60.3259292714083,19.8588445299092,0.83,0.350416666666667,0.10125,0.00458333333333333,0.231115516141296,1.44807151869252,292.5
"Baird's Sandpiper",1980,1995,"First-15-year",-0.725897217150464,-4.00182800209511,2.171997967951,-8.1924412500447,-45.8068431753876,38.0315272159147,0.6875,0.145,0.01375,0,0.264502913547484,5.99652173631772,627.3125
"Baird's Sandpiper",2008,2019,"Recent-three-generation",-2.04581487277588,-7.26972055997942,1.77506153167207,-16.9261934688523,-56.4049254260309,21.3542855564702,0.81375,0.287916666666667,0.0683333333333333,0.00166666666666667,0.22355767107487,0.650123805609858,287.666666666667
"Baird's Sandpiper",1997,2008,"Previous-three-generation",-0.393729031389007,-2.41621139322302,1.55290536277107,-3.44616031917446,-23.5892561743077,18.4720464407506,0.685833333333333,0.00625,0,0,0.255617855400474,2.03330234813885,527.666666666667
"Least Sandpiper",1980,2019,"Long-term",0.382479070505532,-1.04924543907559,1.62450442142307,16.085236687716,-33.725672211478,87.4732115886863,0.277083333333333,0.0358333333333333,0.00208333333333333,0,5.17605517520393,38.0080318593943,983.95
"Least Sandpiper",2004,2019,"15-year",-0.858617353129488,-4.01423183532884,1.9640599782858,-10.6614138444383,-45.911768242337,33.8772749115605,0.695416666666667,0.17875,0.00958333333333333,0,5.71809482161787,17.9200404934589,806.1875
"Least Sandpiper",1980,1995,"First-15-year",0.29312018150801,-2.3910907351754,2.89206307553726,5.19686452480014,-30.4428229078163,53.3657215691619,0.40125,0.02625,0.00166666666666667,0,4.50469495090288,54.3874816561789,1052.1875
"Least Sandpiper",2008,2019,"Recent-three-generation",-1.09453333676953,-5.28615477125852,2.5050913046625,-9.90469932845728,-44.976507211088,31.2803741967011,0.695416666666667,0.159583333333333,0.01,0,5.6178416160675,14.3694135100745,792.333333333333
"Least Sandpiper",1997,2008,"Previous-three-generation",1.55396124393705,-0.258283875247231,3.85225483235947,17.4917880843976,-2.80471359613595,51.5567328200499,0.05625,0,0,0,5.72076355421167,36.5538999670477,1090.58333333333
"White-rumped Sandpiper",1980,2019,"Long-term",-2.02008785994818,-4.04564477936617,-0.274860605866453,-54.2859038593313,-80.0233313635629,-10.1782631652336,0.990416666666667,0.867916666666667,0.5875,0.15125,9.86401023776318,5.52985705514214,678.9
"White-rumped Sandpiper",2004,2019,"15-year",-5.88904645181861,-10.1853511690155,-1.60882731041407,-59.8649195011392,-80.0378349224926,-21.5953036523658,0.99625,0.9425,0.729583333333333,0.210833333333333,7.84667270138507,4.76859985330013,587.125
"White-rumped Sandpiper",1980,1995,"First-15-year",1.53526417079175,-2.36988404635823,5.89685981452795,25.2349343739732,-30.2158043917703,136.181693142856,0.2375,0.0254166666666667,0.00125,0,11.2258669844587,4.37463576413002,730.875
"White-rumped Sandpiper",2008,2019,"Recent-three-generation",-7.06079511412511,-12.5991071670074,-1.5598720510818,-55.3166872368699,-77.2660663907438,-15.8810456701295,0.993333333333333,0.912916666666667,0.627916666666667,0.13,7.1129842414803,4.39785165306551,563.583333333333
"White-rumped Sandpiper",1997,2008,"Previous-three-generation",-1.79770110457353,-4.38807690482181,0.511278725722675,-17.5100525071217,-38.9574610787906,5.77006844946801,0.936666666666667,0.134583333333333,0.00166666666666667,0,10.6178339882264,8.43679872632981,740.166666666667
"Buff-breasted Sandpiper",1980,2019,"Long-term",-5.63485407300711,-9.08986672798579,-2.22004204712621,-89.5893367008602,-97.5684708158579,-58.3375444698124,0.999166666666667,0.9975,0.9875,0.922916666666667,0.00140442777358723,0.209316174170188,309.325
"Buff-breasted Sandpiper",2004,2019,"15-year",-12.3630033081941,-19.6044091364337,-4.80964175124869,-86.2550846361405,-96.2113581635804,-52.2586748046272,0.999166666666667,0.995416666666667,0.98,0.875833333333333,0.000898767013282035,0.111264298051263,177.1875
"Buff-breasted Sandpiper",1980,1995,"First-15-year",-1.32430734365389,-7.02632197607486,4.84078565200283,-18.996126817251,-66.4725758922232,103.214177979315,0.677083333333333,0.364166666666667,0.147916666666667,0.0145833333333333,0.00159595614857863,0.30149307412419,379.3125
"Buff-breasted Sandpiper",2007,2019,"Recent-three-generation",-13.4341209379639,-22.6043880279047,-3.74928898657592,-82.3248788188294,-95.380482927923,-36.7810178247497,0.997083333333333,0.986666666666667,0.946666666666667,0.795,0.000724208517868831,0.0868501434619395,164.153846153846
