"trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","p_decline","p_decline_GT_30","p_decline_GT_50","p_decline_GT_70","mean_abundance","mean_observed","mean_n_surveys","trend_type","species","start_year","end_year","parameter","region","true_trend"
-3.15114526942659,-8.33843147032398,1.9079290260461,-27.207323666669,-58.1328895369031,20.803572643585,0.8903125,0.4359375,0.090625,0.0021875,1.69268644832386,13.9821048180028,599.909090909091,"Recent-three-generation","Simulated_Dunlin",2009,2019,"NSmooth","Survey Wide",-4.35558209679091
-5.17594061262052,-8.61194019067365,-1.84240923978,-41.1043487601937,-59.3655316595227,-16.9692611189265,0.999375,0.83625,0.18375,0,2.666581761875,70.1404867190529,789.090909090909,"Previous-three-generation","Simulated_Dunlin",1999,2009,"NSmooth","Survey Wide",-4.35558209679091
-0.123273963075393,-1.04482740105619,0.662186506007734,-2.85140003499658,-33.6101746340315,29.3564307562787,0.6246875,0.04125,0.0009375,0,0.0747982585710937,0.562875278418096,498.65,"Long-term","Simulated_Baird's Sandpiper",1980,2019,"NSmooth","Survey Wide",-0.235391696812606
-0.101391277975741,-2.47669915691832,2.03538382869878,-0.299991824127199,-22.1813086700389,22.3229811247965,0.5403125,0.0059375,0,0,0.0733983561420455,0.565373280473519,284.545454545455,"Recent-three-generation","Simulated_Baird's Sandpiper",2009,2019,"NSmooth","Survey Wide",-0.235391696812606
-0.11892517881006,-1.84402223505784,1.41602640982186,-0.435418442535807,-16.9828966661484,15.0975036071732,0.5646875,0.000625,0,0,0.0742641605511364,0.716018360130033,448.181818181818,"Previous-three-generation","Simulated_Baird's Sandpiper",1999,2009,"NSmooth","Survey Wide",-0.235391696812606
-0.190437505957689,-1.76031915492436,1.35585930942888,-3.49610042062779,-49.974562759354,69.085178950756,0.5871875,0.16375,0.025,0.000625,4.7449762515625,64.3717911004721,983.95,"Long-term","Simulated_Least Sandpiper",1980,2019,"NSmooth","Survey Wide",-0.0479564229559796
-0.291524494984733,-4.26248081479024,3.43442032609538,-0.858374146772711,-35.3122998453511,40.1686367605088,0.55625,0.05125,0.0015625,0,4.58091726505682,22.6844819138018,774,"Recent-three-generation","Simulated_Least Sandpiper",2009,2019,"NSmooth","Survey Wide",-0.0479564229559796
-0.337417424117786,-3.52551216264802,2.37864188601616,-1.30462047513503,-30.1566893594235,26.5009083255761,0.5825,0.025625,0.0003125,0,4.69209495653409,56.2171211981453,1020.09090909091,"Previous-three-generation","Simulated_Least Sandpiper",1999,2009,"NSmooth","Survey Wide",-0.0479564229559796
-0.475506618147664,-2.00036240030489,0.692463011956696,-13.7209290422362,-54.5269255774817,30.8825061528036,0.7503125,0.244375,0.0425,0.000625,3.37653680698438,6.13591704828683,678.9,"Long-term","Simulated_White-rumped Sandpiper",1980,2019,"NSmooth","Survey Wide",-0.811554953464625
-0.0119894094979175,-3.64163127011684,3.43895558763344,-0.0717253055344813,-30.9928022683156,40.2301094108582,0.5065625,0.028125,0.00125,0,3.14480702710227,6.66440898057917,548.454545454545,"Recent-three-generation","Simulated_White-rumped Sandpiper",2009,2019,"NSmooth","Survey Wide",-0.811554953464625
